year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
2016,100.42,99.426855,101.77268,99.192254,,,,,,,,101.77268
2017,101.26,98.84902,102.32822,98.291464,,,,,,,,102.32822
2018,101.54,98.257543,102.86271,97.321845,,,,,,,,102.86271
2019,101.46,97.679663,103.38487,96.293212,,,,,,,,103.38487
2020,102.62,97.083745,103.9045,95.212713,,,,,,,,103.9045
2021,104.18,96.463452,104.43462,94.086687,,,,,,,,104.43462
2022,104.29,95.818726,104.96683,92.865424,,,,,,,,104.96683
2023,105.38,95.15105,105.48308,91.287153,,,,,,,,105.48308
2024,105.98,94.462179,105.98,89.540482,105.98,105.98,105.98,,105.98,105.98,,105.98
2025,,93.753836,,87.717183,106.45794,106.17995,106.70588,,106.17995,106.70588,,106.45794
2026,,93.02765,,85.858098,106.91818,106.36577,107.42413,,106.36577,107.42413,,106.91818
2027,,92.285138,,83.999323,107.36221,106.53871,108.1383,,106.53871,108.1383,,107.36221
2028,,91.5277,,82.186712,107.79162,106.69487,108.85146,,106.69487,108.85146,,107.79162
2029,,92.238014,,80.37244,108.20796,106.83389,109.62359,,106.83389,109.62359,,108.20796
2030,,91.111367,,78.508067,108.61267,106.95616,110.30817,,106.95616,110.30817,,108.61267
2031,,89.519134,,76.316549,109.00709,107.06521,110.97372,,107.06521,110.97372,,109.00709
2032,,87.804606,,74.24589,109.39232,107.1592,112.0005,,107.1592,112.0005,,109.39232
2033,,85.894015,,72.227532,110.13027,107.23626,112.76334,,107.23626,112.76334,,110.13027
2034,,83.799912,,70.272676,110.52346,107.27117,113.36994,,107.27117,113.36994,,110.52346
2035,,81.63583,,68.415557,110.8175,107.23769,113.92112,,107.23769,113.92112,,110.8175
2036,,79.535685,,66.689929,110.93464,107.17507,114.45037,,107.17507,114.45037,,110.93464
2037,,77.265013,,65.119232,110.88695,106.63279,114.90304,,106.63279,114.90304,,110.88695
