CountryCode,Country,Title,Note
120,Cameroon,Source,Indice de la Production Industrielle IPI 2011=100
124,Canada,Data Supplier,Statistics Canada
124,Canada,Note,Trading day adjusted data as proxy for unadjusted data
124,Canada,Source,Index of Industrial Production IIP
132,Cabo Verde,Data Supplier,Instituto nacional de estatistica Cabo Verde
132,Cabo Verde,Note,Index calculated with GDP
132,Cabo Verde,Source,Quarterly Gross Domestic Product
136,Cayman Islands,Data Supplier,The economics and statistics office Government of the Cayman Islands
136,Cayman Islands,Source,Gross Domestic Product at constant prices
144,Sri Lanka,Data Supplier,Department of Census and Statistics Sri Lanka
144,Sri Lanka,Source,Index of Industrial Production
148,Chad,Data Supplier,INSEED-TCHAD
148,Chad,Source,Indice Harmonise de la Production Industrielle
152,Chile,Data Supplier,Instituto Nacional de Estadisticas Chile
152,Chile,Source,Industrial production indices by kinds of economic activity
156,China,Data Supplier,National Bureau of Statistics of China
156,China,Note,Index calculated out of monthly Growth Rates of Industrial Value-Added
156,China,Source,Growth Rate of Industrial Value-Added by Industry Group
170,Colombia,Data Supplier,Dane Informaccion para todos
170,Colombia,Source,Monthly manufacturing survey with territorial approach (EMMET)
174,Comoros,Data Supplier,Institut Nationale de la Statistique et des Etudes Economiques et Démographiques (INSEED) - Comores
174,Comoros,Source,Gross Domestic Product production approach
178,Congo,Data Supplier," Institut National de la Statistique - INS Congo"
178,Congo,Source,Quarterly Gross Domestic Product by economic activities
188,Costa Rica,Data Supplier,Banco central de Costa Rica
188,Costa Rica,Source,Indice mensual de actividad economica (IMAE) base 2017
191,Croatia,Data Supplier,Croatian Bureau of Statistics (CBS)
191,Croatia,Note,Data obtained via Eurostat.
191,Croatia,Source,Index of industrial production
192,Cuba,Data Supplier,Oficina nacional de estadistica e informacion Republica de Cuba
192,Cuba,Note,Index calculated with GDP
192,Cuba,Source,Quarterly gross domestic product
196,Cyprus,Data Supplier,Statistical Service of Cyprus
196,Cyprus,Note,Data obtained via Eurostat.
196,Cyprus,Source,Index of industrial production
203,Czechia,Data Supplier,Czech Statistical Office
203,Czechia,Note,Data obtained via Eurostat.
203,Czechia,Source,Index of industrial production
204,Benin,Data Supplier,"Institut National de la Statistique et de la Demographie collecte, produit, analyse et diffuse des informations sur l'economie et la societe beninoise"
204,Benin,Source,Index of industrial production (base 2015)
208,Denmark,Data Supplier,Danmarks Statistik
208,Denmark,Note,Data obtained via Eurostat.
208,Denmark,Source,Index of industrial production
214,Dominican Republic,Data Supplier,Banco Central Rebuplica Dominicana
214,Dominican Republic,Source,"Gross Domestic Product per sector, chained volume indices, reference 2018, quarterly"
218,Ecuador,Data Supplier,Banco Central del Ecuador
218,Ecuador,Source,Chained volume index based on qarterly GDP
222,El Salvador,Data Supplier,Central Reserve Bank of El Salvador
222,El Salvador,Source,GDP Production and Expenditure Chained Volume Indices
226,Equatorial Guinea,Data Supplier,Instituto nacional de estadistica de Guinea Ecuatorial
226,Equatorial Guinea,Note,Index calculated with GDP
226,Equatorial Guinea,Source,Gross domestic product at constant 2006 prices
233,Estonia,Data Supplier,Statistics Estonia
233,Estonia,Note,Data obtained via Eurostat.
233,Estonia,Source,Index of industrial production
242,Fiji,Data Supplier,Fiji Bureau of Statistics
242,Fiji,Source,Index of Industrial Production
246,Finland,Data Supplier,Statistics Finland
246,Finland,Note,Data obtained via Eurostat.
246,Finland,Source,Index of industrial production
250,France,Data Supplier,"INSEE, Direction generale"
250,France,Note,Data obtained via Eurostat.
250,France,Source,Index of industrial production
268,Georgia,Data Supplier,National Statistics Office of Georgia
268,Georgia,Source,Industrial Production Index
270,Gambia,Data Supplier,The Gambia Bureau of Statistics
270,Gambia,Source,Gross Domestic Product by Production Approach
275,State of Palestine,Data Supplier,Palestinian Central Bureau of Statistics
275,State of Palestine,Source,Monthly Industrial Production Indices by Major Groups
276,Germany,Data Supplier,Statistisches Bundesamt
276,Germany,Note,Data obtained via Eurostat.
276,Germany,Source,Index of industrial production
288,Ghana,Data Supplier,Ghana Statistical Service
288,Ghana,Note,Index calculated with quarterly VA
288,Ghana,Source,Industry: quarterly value added at constant 2013 prices by economic activity
296,Kiribati,Data Supplier,Kiribati national statistics office
296,Kiribati,Source,Output by industry at constant prices
300,Greece,Data Supplier,Hellenic Statistical Authority
300,Greece,Note,Data obtained via Eurostat.
300,Greece,Source,Index of industrial production
304,Greenland,Data Supplier,Statistics Greenland
304,Greenland,Source,Production by units 2010-prices chained values
308,Grenada,Data Supplier,Grenada Central Statistical Office
308,Grenada,Source,Gross Value Added By Economic Activity
320,Guatemala,Data Supplier,Banco de Guatemala
320,Guatemala,Source,Indice Mensual de la Actividad Economica (IMAE)
340,Honduras,Data Supplier,Banco Central de Honduras
340,Honduras,Source,Indice Mensual por Actividad Economica
344,"China, Hong Kong SAR",Data Supplier,Censtatd Census and Statistics Department
344,"China, Hong Kong SAR",Source,Indices of Industrial Production by Selected Industry Grouping
348,Hungary,Data Supplier,Hungarian Central Statistical Office
348,Hungary,Note,Data obtained via Eurostat.
348,Hungary,Source,Index of industrial production
352,Iceland,Data Supplier,Statistics Iceland
352,Iceland,Source,Gross Domestic Product
356,India,Data Supplier,Ministry of Statistics and Programme Implementation
356,India,Source,Index of Industrial production (IIP 2022-23 series)
360,Indonesia,Data Supplier,BPS Statistics Indonesia
360,Indonesia,Source,Monthly Production Index of Large and Medium Manufacturing by Subsector [KBLI 2020] (2010=100)
364,Iran (Islamic Republic of),Data Supplier,"Central Bank of the Islamic Republic of Iran, economic accounts department"
364,Iran (Islamic Republic of),Source,Gross Domestic Product by Activities
368,Iraq,Data Supplier,Commision of Statistics and GIS
368,Iraq,Source,Gross Domestic Product by economic activity
372,Ireland,Data Supplier,Central Statistics Office Ireland
372,Ireland,Note,data partially available from Eurostat
372,Ireland,Source,MIM05 Industrial Production Volume and Turnover Indices (Base 2021)
376,Israel,Data Supplier,CBS Central Bureau of Statistics
376,Israel,Source,Manufacturing Production Indices
380,Italy,Data Supplier,Istituto Nazionale di Statistica
380,Italy,Note,Data obtained via Eurostat.
380,Italy,Source,Index of industrial production
384,Côte d'Ivoire,Data Supplier,Institut national de la statistique
384,Côte d'Ivoire,Source,Index of industrial production by industrial activity
388,Jamaica,Data Supplier,Statistical Institute of Jamaica
388,Jamaica,Source,Quarterly Value Added By Industry at Constant(2015) Prices
392,Japan,Data Supplier,Ministry of Economy Trade and Industry
392,Japan,Source,Indices of Industrial production
398,Kazakhstan,Data Supplier,Ministry of National Economy of the Republic of Kazakhstan Statistics committee
